rijschool,plaats,aantal_examens,slagingspercentage_eerste_examens,slagingspercentage_alle_examens,weighted_rate_first70_all30,weighted_volume_adjusted_score,rank_first_weighted
Rijschool Arthur,VUGHT,29,74,72,73.4,55.3,12
Rijschool Vlijmen,VLIJMEN,29,53,55,53.6,36.12,62
Rijschool van de Griendt,'S-HERTOGENBOSCH,27,56,59,56.9,38.54,55
LEF Rijopleiding,VUGHT,25,70,76,71.8,52.22,20
Auto- & Motorrijschool Signaal,VUGHT,25,56,64,58.4,39.26,54
Beekwilder autorijlessen,'S-HERTOGENBOSCH,24,84,83,83.7,64.56,3
Autorijschool Zone073,VLIJMEN,24,67,71,68.2,48.21,32
Autorijschool M. Van Boxtel,SINT MICHIELSGESTEL,23,67,70,67.9,47.49,37
Autorijschool Van Heugten,ROSMALEN,23,67,70,67.9,47.49,38
Autorijschool FMY,'S-HERTOGENBOSCH,22,50,68,55.4,35.41,64
Rijschool Attent,VLIJMEN,21,33,48,37.5,20.3,96
Rijcoach yvon,'S-HERTOGENBOSCH,20,33,45,36.6,19.3,99
Autorijschool Tarin,ROSMALEN,19,0,16,4.8,0.8,120
Rijschool Jan Dekkers,AMMERZODEN,17,86,82,84.8,61.69,6
Rijcoach Maasdriel,KERKDRIEL,17,40,59,45.7,25.09,86
Autorijschool E. van Weert,NULAND,16,58,69,61.3,37.57,58
Autorijschool 119,ROSMALEN,15,60,60,60,35.75,63
rijschoolGP,ROSMALEN,15,57,60,57.9,33.94,68
Autorijschool Sekandary,'S-HERTOGENBOSCH,15,33,53,39,19.1,100
Autorijschool Bert van Doornmalen,AMMERZODEN,14,78,64,73.8,47.64,34
Rijschool Eye 4 You,VLIJMEN,14,50,57,52.1,28.46,81
AROS Autorijschool,'S-HERTOGENBOSCH,14,33,21,29.4,12.23,109
Rijschool Hellen,ROSMALEN,12,25,25,25,8.89,115
Rijschool Sosan,'S-HERTOGENBOSCH,11,25,36,28.3,10.32,112
Rijschool Story,ROSMALEN,10,71,70,70.7,40.3,51
Autorijschool Kentie,'S-HERTOGENBOSCH,10,43,60,48.1,22.3,89
Autorijschool Zainab,'S-HERTOGENBOSCH,10,40,40,40,16.82,104
Autorijschool John Van Zuijdam,HEDEL,8,86,75,82.7,48.08,33
Rijschool Eigen-Wijs,VLIJMEN,8,40,63,46.9,19.46,97
Pass2Drive,'S-HERTOGENBOSCH,8,25,38,28.9,9.03,114
Flex Rijschool,'S-HERTOGENBOSCH,6,0,50,15,2.5,119
Rijschool Pip,ROSMALEN,5,75,80,76.5,34.76,65
Toon Lambooij,DEN DUNGEN,5,50,60,53,18.77,102
Autorijschool Joyce,'S-HERTOGENBOSCH,5,25,40,29.5,7.05,116
Autorijschool Westelaken t.h.o.d.n. DriveYou,VLIJMEN,5,25,40,29.5,7.05,117
Optimum Rijschool 's-Hertogenbosch,VLIJMEN,5,33,40,35.1,9.45,113
Verkeersschool Twins,HEDEL,5,67,40,58.9,22.37,88
Rij en VerkeersAcademie,BERLICUM,4,50,75,57.5,19.03,101
Autorijschool Harri,VLIJMEN,4,50,50,50,15,107
Autorijschool van Heeswijk,SINT-MICHIELSGESTEL,3,100,100,100,43.85,42
M & S Rijopleidingen en Coaching V.O.F.,'S-HERTOGENBOSCH,3,,67,67,20.95,94
Rijopleiding Rosmalen,ROSMALEN,1,100,100,100,20.65,95
RijbijSabah.nl,'S-HERTOGENBOSCH,1,,0,0,0,121
